sentiment,Content
surprise,"first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer!"
happiness,"first night sleeping in my new home"
happiness,"First sleep then spending the day with mom since it's mothers day and all. There might even be Chinese."
surprise,"First surprise birthday ever, best night I've had in a damn long time!"
happiness,"first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh"
happiness,"flashlight tag!  i love playing games in the dark."
relief,"flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit though!"
relief,"FLOODED OUT OF MY HOUSE  !!! Staying with someone in town unless the water stops rising  i may use it as a homework excuse"
enthusiasm,"Florida should be nice."
relief,"flu or allergy??? ... Doesn't matter, just try to squeeze my Sundayyyy"
happiness,"fo sho, im down"
enthusiasm,"follow her shes lonelyyyy"
enthusiasm,"follow me!"
surprise,"following people around, though there are so many.. where are the webdesign twitters!"
happiness,"FOOOOOD  yummy so. whose washing the dishes now ? NOT ME ! not i ..    rofl"
happiness,"Football session after this.fun"
happiness,"For a minute I thought that said &quot;Maggie has an extra eye growing.&quot;  Yep, I'm a space cadet.  Sorry for the sweet girl"
surprise,"for about 3-4 weeks now i got 3 different pairs of strighters thinking they wasn't working, just realised it was on the lowest setting"
happiness,"for nearly a month!!  So exciting"
happiness,"for some strange reason, 'paranoid' sounds like U2. but i love them too, so it's aaaaall good."
surprise,"for sure  ...suprisingly addictive tho, i only just signed up after months of trying to resist."
happiness,"for sure! You and your wife seem like cool cats."
surprise,"For the record, john mayer is freaking cool."
happiness,"For those of us who's hearts break a little more this time of year know that you are loved and next week is a new week."
surprise,"For those of you heading out of vancity I've heard the hwy is closed east bound at cwack"
happiness,"For US tweeps, don't forget to call your mom today..."
surprise,"Forgot an EC2 machine running for 15 days, and got a $35 bill. Amazon teaches you to get organized for a fair price"
surprise,"forgot she had a Twitter account.    Happy Mother's Day!"
happiness,"forgot to answer your kindle question yesterday. honestly, haven't used it much. have two paperback books i want 2 read first."
happiness,"forward to starting teaching new students all about hypnosis, will have plenty of laughs I'm sure"
surprise,"Found controls for left hand people like me on twitterrific. Excellent"
happiness,"found rollo! and got happy  hmmm.. guess i really do need to be inserted back into the matrix 0_o"
enthusiasm,"Found some great places but I might have to play it safer and wait 2 years till my car is paid off"
relief,"Four hour baseball game. At least the Crew spent much of it making the Cubbies look bad."
happiness,"Freaking awesome job tonight! You seem to really be having a lot of fun. I have some pictures I wanna send you.."
happiness,"freedom"
surprise,"Fresh&quot"
happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
happiness,"FRIDAY!! I gotta work tommorow tho"
happiness,"Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight."
happiness,"FRIENDS COMING TONIGHT! Hopefully the weather will stay nice"
happiness,"From ME and no one else! Muhahahaaaa! Well maybe Jesse"
enthusiasm,"From the champion team in the defunct MBA, Cebu Gems!"
surprise,"FRUITY PEBBLES?! What? Over Lucky Charms"
happiness,"FTSK and Mercy Mercedes were amazing tonight.. as always"
happiness,"Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think."
happiness,"fun day with boo. short but fun"
surprise,"Fun game of 'Candamir' with the kids last night. Can't believe it's now our last day"
happiness,"Fun is being had."
happiness,"Fun webcamming with caroooo"
surprise,"fun who did you go with??? Another park no invite!  LOL"
happiness,"Funnily enough, Roland is President of my social club!"
relief,"Funtime was not a lot of fun!! But finally done with it"
happiness,"fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one."
happiness,"G'morning! Good to know you're alive and well today!"
happiness,"G'night Twitterverse! Thanks for keeping me entertained!!"
surprise,"GAAAAAAASP I didn't know it will be the final one!!  Sad, I've been reading those books for years"
surprise,"gah! didn't realize my meeting was from 9-12"
happiness,"GAH! I got some of your songs off itunes  I'm so happy! They're SO AWESOME!!! keep it up!"
happiness,"gandang mac un ah! for sure, if its out in the market mas mahal pa sya sa macbook pro. ang cool ng concept!"
surprise,"gangstarr exgirl to the next girl, nas one mic, hold on i still can't listen so i guess it dont matter"
surprise,"gasp-- 10 followers! i feel almost famous. i used to think i would be famous when i grew up one day LOL. oh well, cheers to norm peeps!"
happiness,"gave the bikes a thorough wash, degrease it and grease it. think i did a really good job!"
happiness,"gdgd well i better go and get ready for work :| haha have fun tonight  x x"
surprise,"geez why do u have to be SO obvious?"
surprise,"George B Shaw apparently wrote 2000 words a day. Sure practice works- the more you do the more it comes as 2nd nature"
happiness,"Get a new one nxt wk!!!"
surprise,"get better omg i still dont believe that i didn'tgot a picture with you  it's soo sad, i don't now when i'm gonna see u again"
happiness,"get my wii fit in couple of hours!"
happiness,"Get on a plane! Come drink my Cristal with me"
happiness,"Get you lol what time we eating id hate to be late"
surprise,"gets to get up at 8am tommorow to collect money for Relay for Life! Yay Me! I do not want to get up"
relief,"Gettin check outta school cause im siccck. Goin to pick up jimbbbbo."
happiness,"GETTING A PUPPYYY!!!!  What should I name him? I think Romeo is cute."
surprise,"getting back from smackdown/ecw show"
happiness,"getting cds ready for tour"
surprise,"Getting closer to logging in. My left hand is so swollen, I can't wear my wedding ring. I keep forgetting and worrying that I lost it."
surprise,"getting dressed to go to Granny's,another day of now twitting"
happiness,"Getting Emilie in half an hour, should get up.... Have a nice day all! Talk later I hope"
relief,"Getting my butt kicked by this project  I have the idea, but can't get it perfect."
enthusiasm,"Getting my hair cut tomorrow or later today I should say...   excited. My swag is already on, jus turning it up!!"
happiness,"Getting my hair done bout to hit the club ....... Ha see u later ....... Smooches"
happiness,"getting off for the night, in such a great mood!"
relief,"Getting oil change. Apparently the mice that have been eating my birdseed in my garage have also been eating my air filter."
surprise,"Getting rather annoyed at my notebook. I know it's old and has got wrinkles but it's never been this slow before"
relief,"getting ready for my first day at my new job"
happiness,"Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year"
relief,"Getting ready for school...hope today is a happy and awesome day"
happiness,"getting ready for summy yummy cocoa crispies"
happiness,"getting ready for the concert tonight! YAY!"
happiness,"getting ready for the day, out then work till close"
happiness,"getting ready for the dayyyyyyyyyyyy. i hope work goes good!"
enthusiasm,"Getting ready for work and the sun is shining, plus it's the w/e! Bgt tonight..... what am I gonna do after it's finished?!"
happiness,"getting ready to go read, pray, and go to bed. Enjoy the rest of the night"
happiness,"getting ready to lay out by the pool...."
happiness,"getting ready to leave school on wednesday"
happiness,"getting ready to see my cousins graduate.  gonna miss em."
surprise,"getting ready to shop  birmingham here i come"
happiness,"Getting ready to to to school"
relief,"Getting some DMs asking where I fell off to the past few days  I was sick, but am all better now. I appreciate the concern! Game On!"
happiness,"Getting somewhere with my first &quot;real&quot; KiokuDB and catalyst app, yay"
surprise,"Getting stressed over a sortie tomorrow. And like I am really really stress.."
happiness,"Getting the FAB portraits ready to upload today"
happiness,"girl talk is awesome"
happiness,"Girl, if you were part of the tour, I would seriously be the first in line for tickets.  Just sayin'."
relief,"girl, when you crash, it may last for 2 days"
happiness,"Girsl night ! on my way to foam party  No sleep tonight !!"
happiness,"give him a gift voucher for something like shoppers' stop or something. that's as good as cash. unless he's immigrating, that is!"
happiness,"giving myself a manicure + pedicure  ahhh how i've missed you nice pretty nails..."
happiness,"gl and say hi for me!"
surprise,"glad I wore my black rats and a flowy shirt im so full from my dozen mixed oystsers seafood platter and death by chocolate"
relief,"Glad it's Friday... but bummed that I am officially working Saturdays."
happiness,"glad the zoo was fun and you had a great mothers day hun"
happiness,"Glad to be home.  Punched out late today.  I am very tired.  Thank goodness I am off tonight.  Will make sure I do something fun today."
happiness,"Glad to hear the weather's nice.  It's rained just about every day for the last five days.  Not fun for exploring"
relief,"Glad to hear you're okay. Could have really hurt, by the sounds of it. Is the couch okay? lol"
surprise,"Glad to hear you're quitting. I hope it works out! Also, thanks for the sweet mother's day card. Made me smile."
relief,"Glad to see the sun out in Dublin after a great week in London. Back to work"
happiness,"glad u could check in with us today. keep in touch."
relief,"Glad u r back Demi! You're such a talented, authentic and amazing girl. Keep doing what you love, you're making it brilliant"
happiness,"Glad you are happy!"
happiness,"Glad you are having a blast."
relief,"glad you got a laugh out of it"
relief,"glad you have a squeee moment good for you-- I just got bills in the mail"
happiness,"glad you like it"
surprise,"Glad you like it  took around 2 and a half hours, would have been less but i kept stopping for food breaks haha  i was"
happiness,"Glad you like it!"
happiness,"Glad you like!"
relief,"glad you liked the gmail add-on too. We visual people like the asthetics to be right don't we."
enthusiasm,"Glitter, she sings on it!"
happiness,"Gloomy day can't stop my bliss.  I hope Ronaldo will score in derby match today."
happiness,"Go for it!!"
happiness,"Go Pens go, Gino Wins it for the Pens"
relief,"Go the bubble bath!!!  Always relaxing......."
surprise,"Go to main settings page for iPhone and scroll down - you will see it"
surprise,"go to vegas, but don't spend all ur money!!!!"
relief,"God bless you my dear friend..."
surprise,"goddess people?&quot"
relief,"goes to church  hallelujah!"
surprise,"gogowww how come we can't have deals like that from Houston?"
happiness,"Goin to bed. Goodnight everyone."
happiness,"Goin to bed... Finally. So sleepy! *Happy mothers day!*"
happiness,"Goin to the mall and gonna see the movie ghost of gfs past i hope its good and top it all im goin alone  but ilook cute and feel good ^^"
relief,"goin to watch some friends DVD's"
happiness,"going  back to bed  for a  nap, Im starving !!! tty l"
happiness,"going away party at ambers  road trip tomorrow!"
happiness,"Going back to Manila this evening. All my trips to Cebu are so bitin."
happiness,"going camping in a coupla hours. gotta pack everything... by myself"
surprise,"Going downstairs for more coffee and socialising  Wow... Only 4:16?.. Gives me time for French later"
happiness,"Going for a ride! Perfect night to go out and chill"
happiness,"Going home to enjoy what is left of the day - I can't believe how quickly this week flew by, no time for tweets"
happiness,"Going home. Hope one of you out there saw the play."
relief,"Going I sleep today was a long day happy mothers day to all the moms out there"
happiness,"Going into town later to get myself a birthday present.  An iPod Touch will do nicely I think"
relief,"Going off BC is making me break out."
happiness,"Going on 1,116 days still no new tattoo."
relief,"Going out to down town with a friend, long time haven't seen him...OKOK.. i am feeling fresh again"
happiness,"going out tonight, FINALLY. i wanty lie in the park but... cinema bound it looks"
happiness,"Going shopping  Then Sunday dinner, round two :p"
happiness,"going shopping with my mammyy.... my makeup and face are being generally quite nice to me today"
happiness,"going to another birthday party tonite"
relief,"Going to be buckling down this week. So, relief for my twitter followers from my inanity. Enjoy my silence."
relief,"Going to bed  Goodnight  xox"
relief,"going to bed for real this time. Have a good day"
relief,"going to bed happy mothers day people"
surprise,"Going to bed, stores are closed"
happiness,"Going to bed! Happy mother's day for every mom here!"
happiness,"going to bed.   goodnight"
surprise,"Going to bed...going back to Korea tomorrow"
happiness,"Going to church in the morning...happy mommas day almost"
enthusiasm,"Going to French. Anyone want to pick me up?"
happiness,"Going to get some strawberries for the champagne tonight!"
relief,"Going to go kennel the dogs and then I am going to watch Goblet of Fire"
happiness,"Going to have dinner. bbs"
happiness,"going to head to bed now finally...goodnight! Hopefully my dreams will consist of ravishing things, such as: Zachary Quinto."
happiness,"Going to IKEA with the roomie so she can shop for her apartment. IKEA is in like my top ten stores that I love"
happiness,"Going to Jack's for dinner with my BFF!"
happiness,"Going to shopping place thingie! BRB LATERZ!"
relief,"Going to sleep with Horton.  Goodnight, Twitterverse &lt;3"
surprise,"going to sleep? why so early? Good night!"
happiness,"going to sleep. big beach day tommorow. love you guys. nite."
surprise,"Going to sunnybank"
relief,"Going to take it quite easy today actually. Yesterday was great but it took a lot of energy out of me. Going out for some pirating later."
relief,"going to take my sociology exam   and back to bed"
enthusiasm,"Going to the Chiro to see what is wrong with my bum ankle."
happiness,"going to the cinema to see ghost of girlfriends past!"
happiness,"Going to the gym early trying to get back in shape again. My husb got me a gift cert to swim w/ Dolphins for my BD.  Need muscles!"
happiness,"going to watch boy in the striped pj's hope i don't cry"
happiness,"going to watch some tv now - crazy night out - up at 7am for work tomorrow  I'll live somehow! At least it means I finish early!"
enthusiasm,"going to work once again. what a great few days off i had. now it's over  but atleast i get 2 more commin up wahooooooo"
surprise,"Going to work.  Could use some happy pills"
surprise,"Goingto the airport soon and then going to meet my wedding photographer!! Can't wait"
enthusiasm,"Gone have my ears on it when I am at home ..plenty of painting for you as well"
surprise,"Gonna celebrate Mothers Day with the family but gonna start the partying tonite"
surprise,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
enthusiasm,"Gonna get my ticket to Las Vegas today. Gotta check my milage. Can't wait till August"
happiness,"gonna get out in the sunshine"
happiness,"gonna go 2 bed now, night tweeters  , dont think about me when you sleep ;) hahah nite all"
happiness,"Gonna head into the shower now...  Going to a friend's birthday party =]"
enthusiasm,"Gonna see the cab twice!  In August, I'm taking my friend Jess to the Vegas one for her bday!"
relief,"Gonna try to get a couple hours of sleep. Love going to bed at 9 am. Later Twitter"
surprise,"Gonna WoW for a bit. Later, Twitter &lt;3"
happiness,"good"
happiness,"Good Afternoon"
enthusiasm,"good afternoon, hope you have a great week"
happiness,"Good am all..: hanging out with ma dad 2day, looking for a job still.."
happiness,"good and you cup cake"
happiness,"good catch!  Thanks a bunch- have to put up a new widget."
happiness,"good day"
happiness,"Good day all. Let's see what we can get accomplished today together."
surprise,"good day in the sun... little bit burnt tho... well actualy quite alot  very sore  heh"
happiness,"good day to all of you!! Another lindy day today! Level A, B, FREE tester at 20:00 (Olympiou Diamanti 25, 6th floor, Thessaloniki) !!"
happiness,"Good day today tomorrow will be even better"
happiness,"good day, ya'll! happy mom's day!"
happiness,"Good episode of Top Gear tonight."
happiness,"Good Evening Rose ...."
happiness,"Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !"
relief,"good evening. enjoying vacation eventhough it is boring.  pray for david cook's brother. rip."
happiness,"Good film"
happiness,"good girl, sarah. now we've got ourselves a club"
surprise,"Good god, no. You can fit very few swear words into 140 characters"
happiness,"good good!!"
happiness,"good job I have the track in my head, cos sadly can't access it, boo"
happiness,"good job!"
happiness,"good job!  I wish i worked in a zoo"
happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
enthusiasm,"Good Luck"
happiness,"good luck chan! gue kmrn bawa backpack kosong, quite helping"
happiness,"good luck in the pressure test! don't worry everything will be great  #masterchef"
surprise,"Good luck on final!"
enthusiasm,"GOOD LUCK ON FINALS EVERYONE!!!!!!!!!!!!!!!!!"
happiness,"Good luck on your first day !!!!"
happiness,"Good luck tonight! have fun"
happiness,"Good luck with the footage - none of the stations are breaking in live with it"
happiness,"good luck with you finals!!!"
happiness,"good luck with your auction"
surprise,"Good Luck with your interview!"
happiness,"good luck!! How exciting"
relief,"good luck.. Finally your long time will of panvel tweetup finally coming true.."
enthusiasm,"Good Luck.. mine 3rd day today !"
happiness,"GOOD MIDDAY."
happiness,"Good Monday to all. It's still wet outside but inside I'm sunny  I'm feeling a surge of warmth and energy. This will be a good day!"
happiness,"good moring mr bailey, it is my birthday today"
relief,"good mornin sunshine...at least the work puter will go faster"
happiness,"Good mornin. Today will end early, woo. Gonna work on rick's surprise PROJECT DUE ON TUESDAY"
happiness,"Good mornin' Jason! Ready for a fresh new week as well!"
relief,"Good mornin' to ya!"
happiness,"good morning"
happiness,"good morning"
happiness,"Good morning"
happiness,"good morning"
happiness,"good morning"
happiness,"Good morning"
happiness,"good morning  finally a day of sunshine for my summer hol!  away to watch the footie in the sun  x"
happiness,"Good morning  hope u all have a great day"
enthusiasm,"Good morning  how are you? #TwitterTakeover"
happiness,"Good Morning  i ate pizza for breakfast"
happiness,"good morning  one m,ore day YAY! #TwitterTakeover"
happiness,"Good morning  ready to start this week."
happiness,"good morning  tis a rainy Monday morning...blahhh!"
happiness,"Good Morning - here's hoping it's a good one for ya!"
happiness,"good morning - you're up early! Feeling enthused to design your life?  thanks to manics for that phrase"
happiness,"Good morning ! Wishing everyone a great week"
happiness,"Good morning all! Its a fabulous morning here!"
happiness,"Good Morning and Happy Mothers Day everyone"
happiness,"Good Morning and Have a Great Day at work"
happiness,"Good Morning and thanks for the Retweet"
happiness,"good morning broham"
happiness,"Good Morning Campers! I got LOTS of sleep last night! Thank you! Thank you Ash! Thank You!"
happiness,"Good morning Dan! It's my Bday and I plan on getting some exercise too today!!  Love ya!! See you in NYC!!!"
happiness,"good morning everbody!"
happiness,"Good Morning Every1!!! Its gorgeous out again n im stuck in work  Wish i was at home chillin out.. Hopefully tha day goes quick  doh !!"
happiness,"Good morning everybody !!"
happiness,"Good morning everyone"
happiness,"Good morning everyone  It's a nice day #iloveitwhen the sun is shining. And now I'm going to write some stuff"
happiness,"Good morning everyone i hope you all have a great day  even though  it is Monday keep on smiling"
happiness,"Good Morning everyone!  Have a great Monday!  Thanks for following!"
happiness,"Good morning everyone!  Nice to see you today!  Hope you a wonderful and funny day!"
happiness,"Good Morning everyone! Enjoy your day! Thinking of all my tweet friends"
happiness,"good morning everyone! hope you al have a lovely sunday!  (and i do hope it doesnt rain tomorrow :|)"
happiness,"Good Morning Everyone. !.!. Time for work"
happiness,"good morning folks!   what ya gonna do today? it's mothers day"
happiness,"Good morning friends. Happy May Bank Holiday."
happiness,"good morning from Lincolnshire. I could use some exercise also"
happiness,"Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!"
happiness,"good morning Hazel  caffeine-shot?"
happiness,"Good morning MiaMiaDC  My weekend was great and I just had my Monday, which was also great  I hope you have a wonderful day!"
happiness,"Good morning Monday...  I feel as though you came to visit too early... But I am happy to see you none the less."
surprise,"Good morning new followers. Time for my face-sized coffee. Don't be a stranger"
happiness,"good morning people !! in good old germany is it soooo cold"
happiness,"Good Morning people!!! Have a great day"
enthusiasm,"Good morning Sunshine   Tiime for $chooooL ! lol . BBL`"
happiness,"good morning sunshine. sleepytown is sleepy."
happiness,"Good Morning Sunshines!"
enthusiasm,"good morning sushine!"
happiness,"Good morning to the world. Hope everyone is ok"
happiness,"Good morning to you as well Rob, have a great day"
enthusiasm,"good morning to you!  No wait, its evening.  You still have a whole day of work to go before the weekend!"
happiness,"Good morning to you. Hope you have a nice productive day"
happiness,"Good morning Tweeple of the sun! What you all up to?"
enthusiasm,"Good morning tweeps! Monday got here way too soon! Hope you are having a good one, at least as good as it can get for a Monday"
happiness,"Good morning Tweepsland! Makin' it a great Monday! Huge shout out to all my followers .. muah, muah! I appreciate you all"
happiness,"Good Morning Tweeters... Happy Monday!  Grab a big cup of coffee it's a new week"
happiness,"good morning tweeties! what to do today? I am all rested up from Richmond and ready to hit the beach!"
relief,"Good Morning Tweets, I like lazy sundays"
happiness,"Good Morning Twitter Bugsssss 8:48am and my day starts nowwwww"
happiness,"good morning twitterworld!  slept too less.."
happiness,"Good morning world"
happiness,"Good morning World   This will be another wonderfull day, starting with breakfst with champions...  my kids ofcourse"
happiness,"Good morning world."
relief,"Good morning, baby  Yes, i slept like a rock. Refreshed &amp; ready for anything. How are you? *hugs you &amp; doesn't let go* Miss u"
happiness,"good morning, It's nice to see you!"
happiness,"Good morning, to all the mommies happy mothers day.  Now I am off the pull the cats tail.  I know she likes it"
enthusiasm,"Good Morning, Twitter community! I just got finished eating a delicious stack of pancakes courtesy of my Mom and Bisquick."
enthusiasm,"Good morning!"
surprise,"Good morning!  It is raining here"
happiness,"Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol"
happiness,"Good morning! Driving to work"
happiness,"Good Morning! Hope you have a great day!!"
happiness,"Good morning! It's going to be a kick-butt day!"
happiness,"Good Morning! Looking Forward To Listening To THE PRODIGY On Radio 1 Big Weekend.  Brought Their Album Yesterday!! =P AMAIZE Tbqh. x"
happiness,"Good morning! Nothing in particular, meeting people and having drinks this evening  what are you doing with your Monday?"
happiness,"good morning! off to the gym I go"
happiness,"Good morning!! Gonna clean the house a bit, then maybe clean some more, then do nothing for the rest of the day"
happiness,"Good morning!! It's 12:00, I think it's time for breakfast!!"
happiness,"Good morning!!! Who wants breakfast??"
enthusiasm,"Good morning."
surprise,"Good morning. haha I just read that the swine flu probably not come`s from pigs at all, but from people! Poor pigs who got all the blame!"
happiness,"good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you."
happiness,"good morning. How is my favourite pcso today?"
happiness,"Good Morning...hoping to throw back some coffee like right now!"
happiness,"Good night all, 15 miles of trails with 7 peeks to climb in the morning, fun times ahead"
happiness,"Good night Erin!  i wouldn't say that this is early or that you are old."
happiness,"Good night everyone...... Time to go mimmiz......"
happiness,"good night! im off to sleeep!!!! 5 am  good mornining! xD"
relief,"Good night."
surprise,"Good plan, Peg --plus I like the sound of &quot;Money Monday&quot;"
happiness,"good show for you guys .. i wish i could be there to see you"
happiness,"Good show, sleepytime. Goodnight moon"
happiness,"good stuff, cant wait for the results"
surprise,"Good stuff, Smiles back? Why won't you go to his concert too? :o. Wish I could instead of doing my music which is failing  lol x"
happiness,"Good stuff, Smiles back? Why won't you go to his concert too? :o. Wish I could instead of working on my music which is failing  lol x"
surprise,"Good thing is: They have a computer. Bad thing is: It blocks ALL VIDJAGAME SITES! Yes, even VGTribune.com is blocked!"
relief,"good times haha ily christian and mo  gonna watch dazed and confused in a while ha also my first time watching it ha im so lame"
relief,"Good to hear you're bck!! don't let stupid rumours put u down! as long as ur fans r behind you, you got nothing to worry bout  x"
relief,"good to hear! Just in time for the weekend. I'll be working though"
relief,"Good to hear..!"
happiness,"good to know PLN's Earthday doesn't only happen in my neck of the woods"
happiness,"good to know you had fun"
relief,"Good to see you back. Sorry that happened to you"
relief,"good weather reminds me..I read your post on Sugar cane juice n other things..This weather calls for some of those things!"
happiness,"Good work.I've only just managed to turn my studio on... I envy your productivity"
happiness,"good, good.  what could it be then? :o"
happiness,"good!  now let's go get this done..... www.HennesseyBlack.com"
relief,"good! now i don't have to answer the question 500 times a day"
happiness,"good! you joined the dark side hahahaha we have cookies!"
relief,"good. that was the intent.  hopefully others get the same vibe"
surprise,"goodmornin  as soon as i saw ur pic, it reminded me how embarresing it was yesterday. with oliver&amp;peter. it was fun tho xD"
happiness,"Goodmorning"
happiness,"goodmorning !"
happiness,"Goodmorning tweedles  very happy mood, i think i will always be after this past weekend. lol vids of the 'BEYONCE WEEKND' coming soon."
surprise,"Goodmorning World"
enthusiasm,"Goodmorning world!"
happiness,"Goodmorning yall! I woke up to early"
happiness,"GoodMorning. My Father's going balistic, and I'd say more but I'd rather not get beat, so Have a Good Day, and please text me"
surprise,"goodness gracious my chair broke"
happiness,"Goodnight  PS- thanks for jailbreaking my iPod, stacie &lt;3"
happiness,"goodnight all in the twitterverse"
relief,"goodnight and good bye to all of you, hope you have the best of dreams"
happiness,"goodnight baby loll jk night"
happiness,"Goodnight Beautiful world  sweet dreams. olive juice!"
relief,"goodnight Cuppycake  hope you have a good day and don't feel so blah!  XxOo"
happiness,"Goodnight everyone  Happy Mothers Day to all of the mothers out there"
happiness,"Goodnight is not on the trending topics.  lol"
happiness,"goodnight to all"
relief,"goodnight twitter, ill see you after 10 + hours of sleep or more"
happiness,"Goodnight twitterworld. I'll tweet y'all later.  Goodnight, J."
happiness,"Goodnight, good morning and HAPPY MOTHERS DAY! Visit my profile to see my silly offspring.Its funny, the love of my life picks his nose!"
surprise,"Goodnight!!!!!!"
surprise,"GOODNiGHT...HAPPY MOTHERS DAY TO ALL THE MAMi'S ON TWiTTER"
surprise,"Google goes pink today"
surprise,"googled mothers day, PHEW, US &amp; UK have different dates! Learn something new every day"
happiness,"Goood Moring"
happiness,"gooodmorning people of earth!"
happiness,"Gooood morning!"
relief,"Gooood party last night (: Although I am extremely tired now. xD Off to bed to lounge around watch tv and sleep all day"
happiness,"Goooood beer tiiiimes"
happiness,"gooooood morning"
happiness,"Goooooodmorning"
happiness,"goooooood morning!"
happiness,"Gooooooood morning, campers!  And happy Mother's Day!"
surprise,"gooooooood night, cant believe tomoroo is cancelled!  but still gonna be a giid night, GNI cant beat them!"
surprise,"Goooooooood Mornin Tweeps! It's going to be an Awesome Monday - I can already tell... not even 8am and my inbox is clean"
relief,"gooooooooood im not a complete nut case then"
surprise,"Gorgeous day!  Worked the Master Gardener plant sale, trimmed smoke bushes, and now to do some writing."
happiness,"Gorgeous day! Off to Hash around Waterley Bottom - wonderful name for a village! Quiz Mistressing at the Porto this evening"
surprise,"got 1 after school detention. 2 lunch times and if i dont go to them. i will get 2 more after schools"
happiness,"Got 5 new followers yesterday! Yay  Just need 11 more til 50"
enthusiasm,"got a lot of shopping done today...really excited bout my new travel journal! Going to go to sleep watching a movie with my cousins"
happiness,"got a new dog"
happiness,"got a new prom dress"
happiness,"got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material."
happiness,"got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!"
happiness,"got an awesome hair cut todayyyy  it looks so hottt haha doing homework"
surprise,"Got back from helping my sis with stuff for my niece's 1st birthday. I saw a PSP/DS lite car charger in Toy Kingdom SM for only P250!!"
surprise,"got back from the party...suprisingly awesome, NEED to dance more often! overall, awesome night"
surprise,"got caught in the rain outside. now im cold bbbbrrrrrrrrr"
surprise,"got damn stranger  lol"
surprise,"Got fully denied tonight  sleep time now, lnd in morn!"
happiness,"got it? good. HAPPY MOTHERS DAY!"
enthusiasm,"got it. Welchs grape too please"
happiness,"Got my braces tightened today. Then I got McDonalds! HAHA  Sport tomorrow yay yay yay! Netball tryouts.. wish me luck to make the team! :l"
enthusiasm,"got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL."
relief,"Got my new phone - now to program everything since my old one had no memory card like this one"
